,order,family_name,family_description,family_code,code,com_name,sci_name,genus,species
0,Struthioniformes,Struthionidae,Ostriches,struth1,ostric2,Common Ostrich,Struthio camelus,Struthio,camelus
1,Struthioniformes,Struthionidae,Ostriches,struth1,ostric3,Somali Ostrich,Struthio molybdophanes,Struthio,molybdophanes
2,Rheiformes,Rheidae,Rheas,rheida1,grerhe1,Greater Rhea,Rhea americana,Rhea,americana
3,Rheiformes,Rheidae,Rheas,rheida1,lesrhe2,Lesser Rhea,Rhea pennata,Rhea,pennata
4,Tinamiformes,Tinamidae,Tinamous,tinami1,tabtin1,Tawny-breasted Tinamou,Nothocercus julius,Nothocercus,julius
5,Tinamiformes,Tinamidae,Tinamous,tinami1,higtin1,Highland Tinamou,Nothocercus bonapartei,Nothocercus,bonapartei
6,Tinamiformes,Tinamidae,Tinamous,tinami1,hootin1,Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus,nigrocapillus
7,Tinamiformes,Tinamidae,Tinamous,tinami1,grytin1,Gray Tinamou,Tinamus tao,Tinamus,tao
8,Tinamiformes,Tinamidae,Tinamous,tinami1,soltin1,Solitary Tinamou,Tinamus solitarius,Tinamus,solitarius
9,Tinamiformes,Tinamidae,Tinamous,tinami1,blatin1,Black Tinamou,Tinamus osgoodi,Tinamus,osgoodi
10,Tinamiformes,Tinamidae,Tinamous,tinami1,gretin1,Great Tinamou,Tinamus major,Tinamus,major
11,Tinamiformes,Tinamidae,Tinamous,tinami1,whttin1,White-throated Tinamou,Tinamus guttatus,Tinamus,guttatus
12,Tinamiformes,Tinamidae,Tinamous,tinami1,cintin1,Cinereous Tinamou,Crypturellus cinereus,Crypturellus,cinereus
13,Tinamiformes,Tinamidae,Tinamous,tinami1,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi,Crypturellus,berlepschi
14,Tinamiformes,Tinamidae,Tinamous,tinami1,littin1,Little Tinamou,Crypturellus soui,Crypturellus,soui
15,Tinamiformes,Tinamidae,Tinamous,tinami1,teptin1,Tepui Tinamou,Crypturellus ptaritepui,Crypturellus,ptaritepui
16,Tinamiformes,Tinamidae,Tinamous,tinami1,brotin1,Brown Tinamou,Crypturellus obsoletus,Crypturellus,obsoletus
17,Tinamiformes,Tinamidae,Tinamous,tinami1,undtin1,Undulated Tinamou,Crypturellus undulatus,Crypturellus,undulatus
18,Tinamiformes,Tinamidae,Tinamous,tinami1,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus,Crypturellus,transfasciatus
19,Tinamiformes,Tinamidae,Tinamous,tinami1,bratin1,Brazilian Tinamou,Crypturellus strigulosus,Crypturellus,strigulosus
